"Selected police-reported crime and calls for service during the COVID-19 pandemic c 1 2 3 4"
"Frequency: Monthly"
"Table: 35-10-0169-01"
"Release date: 2021-11-22"
"Geography:"
""
""

"Geography","Total, Selected police services 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Violations and calls for service","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021"
"Total assaults (levels 1, 2, 3)","15,191","16,148","17,059","17,929","18,003","17,537","16,768","16,105","15,356","15,636","15,102","14,803","14,723","12,829","15,203","16,455","18,314","16,669","15,241","14,277","12,811","12,355","13,016","11,559","12,400","13,969","15,996","16,422","17,202","16,272","15,679"
"Total sexual assaults (levels 1, 2, 3)","1,856","1,770","1,996","2,099","1,940","1,839","1,921","2,130","1,868","1,733","1,806","1,950","1,609","1,032","1,312","1,663","1,895","1,823","1,744","1,464","1,489","1,283","1,598","1,414","1,674","1,621","1,813","1,842","1,807","1,798","1,919"
"Assault against peace or public officer (level 1)","583","614","655","647","674","681","621","623","585","591","560","630","579","547","620","664","615","503","541","570","501","475","500","426","524","483","600","555","625","591","536"
"Uttering threats","3,589","3,637","4,022","3,863","3,837","3,824","3,874","3,766","3,704","3,402","3,390","3,205","3,418","3,022","3,574","3,785","4,252","3,762","3,649","3,307","3,192","3,025","2,965","2,568","3,487","3,162","4,047","3,908","3,653","3,477","3,580"
"Total robbery","1,327","1,270","1,396","1,389","1,592","1,581","1,501","1,685","1,642","1,459","1,552","1,412","1,493","859","874","968","1,172","1,188","1,158","1,160","1,023","970","890","769","976","887","989","1,061","1,122","1,146","1,230"
"Dangerous operation, causing death or bodily harm","34","46","34","61","59","89","55","54","41","37","33","29","29","33","38","31","54","55","42","26","26","10","23","7","24","37","29","26","37","34","35"
"Impaired driving, causing death or bodily harm","26","54","54","48","55","50","39","43","44","49","39","48","32","25","35","36","43","39","37","22","26","21","21","9","22","24","44","41","52","42","38"
"Total breaking and entering","8,674","9,996","10,702","10,655","11,822","12,212","11,907","11,446","10,572","10,033","10,345","8,612","9,865","9,446","7,676","7,808","8,137","8,726","8,527","8,752","7,299","7,080","7,363","5,167","6,144","6,992","7,625","7,327","8,378","8,435","8,276"
"Motor vehicle theft","5,891","6,035","6,396","6,473","7,345","7,348","7,611","6,895","6,814","6,194","6,475","5,864","5,868","5,120","4,561","5,109","5,670","5,693","6,130","6,018","5,564","4,986","4,986","4,196","4,545","4,949","5,403","5,428","6,554","6,774","7,175"
"Shoplifting","9,930","9,015","9,347","8,711","8,802","9,333","9,150","9,550","9,259","7,298","9,811","9,496","7,821","3,499","3,097","3,623","4,672","4,981","5,018","6,210","5,452","4,720","5,704","5,148","6,009","5,431","5,637","5,467","5,461","5,495","5,554"
"Fraud/identity theft/identity fraud","9,860","9,572","10,775","10,054","11,109","11,188","11,043","12,144","10,802","9,406","11,959","10,347","9,701","8,218","8,120","10,694","11,682","10,585","9,790","9,655","9,544","8,631","9,908","9,459","9,163","8,998","9,298","9,074","8,819","8,612","9,207"
"Fail to comply with order","8,251","7,683","8,166","8,372","8,573","8,730","7,838","7,632","7,428","7,495","7,227","7,321","6,362","5,898","6,404","6,893","7,462","7,265","7,093","7,022","7,377","7,228","7,692","6,804","7,639","8,545","8,884","8,629","8,859","8,535","8,155"
"Impaired driving, operating while impaired","5,466","5,247","5,687","6,486","6,696","6,871","5,585","5,314","5,175","5,287","4,190","4,605","4,220","3,717","5,172","5,801","6,650","6,149","5,545","4,964","4,270","4,089","3,577","3,070","3,302","3,967","4,657","4,911","5,481","5,108","4,670"
"Provincial/Territorial acts related to COVID-19 5","..","..","..","..","..","..","..","..","..","..","..","..","1,351","4,726","3,315","2,246","2,648","2,508","3,010","3,018","3,787","5,733","5,611","3,382","1,947","4,780","7,739","3,387","2,164","2,252","1,481"
"Calls for service, domestic disturbances / disputes","9,067","8,911","9,707","10,232","10,835","10,485","9,644","9,163","8,948","9,456","9,403","8,835","10,179","10,160","10,905","11,023","11,694","11,168","9,912","9,792","8,791","9,488","9,520","8,394","9,541","9,417","10,195","10,198","10,706","10,523","9,700"
"Calls for service, Mental Health Act (MHA) apprehension","2,828","2,764","2,846","2,905","3,035","2,971","2,777","2,902","2,880","2,740","3,060","2,892","2,842","2,647","3,159","3,262","3,407","3,437","3,036","3,143","3,105","3,034","3,494","2,861","3,594","3,214","3,723","3,602","3,754","3,684","3,452"
"Calls for service, mental health - other","3,324","3,406","3,585","3,596","3,462","3,517","3,395","3,159","3,127","3,217","3,281","3,142","3,604","3,524","4,015","4,289","3,924","4,222","3,875","4,238","3,941","3,823","3,962","3,455","3,984","3,859","4,016","3,826","3,799","3,503","3,231"
"Calls for service, suicide/attempted suicide","3,004","2,935","3,121","2,815","2,902","2,808","2,778","2,787","2,823","2,691","2,722","2,530","2,879","2,504","2,891","2,539","2,793","2,789","2,748","2,687","2,635","2,622","2,716","2,483","2,837","2,640","2,779","2,832","2,799","2,744","2,652"
"Calls for service, overdose 6","570","547","591","577","443","413","380","420","422","334","427","526","519","512","575","462","538","525","601","616","613","502","581","575","593","560","622","667","762","823","719"
"Calls for service, child welfare check","42","53","46","45","64","43","43","44","35","39","42","38","50","50","43","76","67","65","44","46","47","40","50","59","54","59","66","58","79","85","79"
"Calls for service, check welfare - general","3,346","3,331","3,741","3,912","4,126","4,092","3,750","3,588","3,278","3,449","3,655","3,345","3,633","3,893","4,395","4,607","4,781","4,619","4,298","4,198","4,236","4,326","4,410","4,015","4,734","4,574","6,341","5,342","5,247","5,304","4,799"
"Calls for service, child custody matter - domestic","52","52","60","55","70","85","66","52","55","67","74","45","78","88","62","89","106","77","71","49","66","70","80","78","77","82","76","73","82","103","77"

Symbol legend:
.., not available for a specific reference period




"Table Corrections:"
Date,Note
"2021-04-01","On April 1, 2021, data for “Calls for service, mental health – other” from November 2019 and 2020, December 2019 and 2020, and January 2020 and 2021 for the Royal Newfoundland Constabulary were corrected. Additionally, data for “Calls for service, overdose”; “Calls for service, child welfare check”; and “Calls for service, child custody matter – domestic” for all reference periods for the Royal Newfoundland Constabulary were corrected to show as not available due to a lack of correspondence between the data reported and the selected categories."
