"Employment and unemployment rate, monthly, unadjusted for seasonality 1"
"Frequency: Monthly"
"Table: 14-10-0374-01"
"Release date: 2021-12-03"
"Geography: Canada, Province or territory"
""
""

,"Geography 2","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sex","Both sexes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Age group","15 years and over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Labour force characteristics","Population centre and rural areas","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021","August 2021","September 2021"
,,"Persons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employment 3","Total, all population centres and rural areas  (x 1,000)","18,586.8","18,781.6","19,175.0","19,341.9","19,223.2","19,260.4","19,178.0","19,165.7","19,028.3","19,021.5","18,769.4","18,849.9","17,795.9","15,968.8","16,603.4","17,742.3","18,038.4","18,218.3","18,475.7","18,556.3","18,539.9","18,432.4","17,942.3","18,251.6","18,500.8","18,427.1","18,715.8","19,159.5","19,143.9","19,180.9","19,215.2"
,"Census metropolitan area and census agglomeration 4  (x 1,000)","16,051.8","16,255.8","16,531.9","16,650.2","16,536.0","16,582.6","16,524.0","16,544.1","16,467.4","16,459.3","16,276.3","16,354.9","15,398.9","13,851.6","14,326.3","15,319.0","15,598.3","15,775.8","16,012.3","16,113.0","16,118.4","16,027.9","15,609.8","15,885.5","16,131.7","15,986.5","16,203.9","16,630.1","16,646.2","16,700.0","16,719.0"
,"Core 5  (x 1,000)","14,306.0","14,482.0","14,635.3","14,757.8","14,657.7","14,709.6","14,669.8","14,696.9","14,675.1","14,670.9","14,523.1","14,550.8","13,709.7","12,309.2","12,699.6","13,557.1","13,828.1","13,965.4","14,202.4","14,240.4","14,287.4","14,177.2","13,829.0","14,078.1","14,310.5","14,140.2","14,311.8","14,702.4","14,738.7","14,765.4","14,808.7"
,"Fringe 6  (x 1,000)","579.3","583.2","633.5","623.3","617.6","603.3","608.2","608.9","589.4","588.4","591.7","611.2","572.1","503.9","523.5","554.6","550.6","579.4","586.5","619.4","586.5","582.5","551.9","576.4","579.4","572.9","583.7","593.4","608.6","617.0","603.6"
,"Rural area 7  (x 1,000)","1,166.5","1,190.6","1,263.1","1,269.2","1,260.7","1,269.7","1,246.0","1,238.3","1,202.9","1,200.0","1,161.5","1,192.9","1,117.1","1,038.5","1,103.2","1,207.4","1,219.6","1,231.0","1,223.3","1,253.2","1,244.5","1,268.2","1,228.9","1,231.0","1,241.8","1,273.5","1,308.5","1,334.4","1,298.9","1,317.6","1,306.7"
,"Non-census metropolitan area and non-census agglomeration 8  (x 1,000)","2,534.9","2,525.8","2,643.1","2,691.7","2,687.2","2,677.8","2,654.0","2,621.6","2,560.9","2,562.2","2,493.1","2,495.0","2,396.9","2,117.2","2,277.0","2,423.2","2,440.1","2,442.5","2,463.4","2,443.3","2,421.6","2,404.5","2,332.5","2,366.2","2,369.2","2,440.6","2,511.8","2,529.3","2,497.7","2,480.9","2,496.2"
